Staff_Name,Role,Branch_Name,Cal_Year,Cal_Year_Month,Cal_Month_Name,Orders_Processed,Revenue_Handled,Avg_Revenue_Per_Order,Employment_Status
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2022,2022-10,"October",3,224.53,74.84,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2022,2022-11,"November",8,490.48,61.31,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2022,2022-12,"December",15,607.13,40.48,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2023,2023-01,"January",5,180.53,36.11,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2023,2023-02,"February",2,65.05,32.53,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2023,2023-03,"March",3,205.01,68.34,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2023,2023-04,"April",10,389.09,38.91,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2023,2023-05,"May",6,389.43,64.91,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2023,2023-06,"June",5,165.51,33.1,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2023,2023-07,"July",6,164.99,27.5,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2023,2023-08,"August",5,243,48.6,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2023,2023-09,"September",4,107.83,26.96,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2023,2023-10,"October",7,257.83,36.83,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2023,2023-11,"November",12,548.24,45.69,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2023,2023-12,"December",15,734.47,48.96,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2024,2024-01,"January",9,117.48,13.05,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2024,2024-02,"February",9,242.74,26.97,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2024,2024-03,"March",1,63.12,63.12,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2024,2024-04,"April",7,125.12,17.87,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2024,2024-05,"May",6,227.13,37.86,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2024,2024-06,"June",9,511.45,56.83,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2024,2024-07,"July",7,430.27,61.47,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2024,2024-08,"August",6,258.3,43.05,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2024,2024-09,"September",6,135.71,22.62,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2024,2024-10,"October",5,195.28,39.06,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2024,2024-11,"November",5,501.61,100.32,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2024,2024-12,"December",9,451.35,50.15,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2025,2025-01,"January",7,250.76,35.82,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2025,2025-02,"February",6,151.13,25.19,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2025,2025-03,"March",4,139.68,34.92,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2025,2025-04,"April",10,341.62,34.16,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2025,2025-05,"May",10,466.34,46.63,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2025,2025-06,"June",12,671.55,55.96,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2025,2025-07,"July",4,74.83,18.71,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2025,2025-08,"August",6,176.6,29.43,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2025,2025-09,"September",6,81.1,13.52,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2025,2025-10,"October",7,177.15,25.31,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2025,2025-11,"November",7,132.33,18.9,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2025,2025-12,"December",25,1005.45,40.22,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2026,2026-01,"January",9,476.57,52.95,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2026,2026-02,"February",11,552.72,50.25,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2026,2026-03,"March",12,534.53,44.54,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2026,2026-04,"April",5,261.01,52.2,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2026,2026-05,"May",13,448.72,34.52,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2026,2026-06,"June",10,398.2,39.82,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2023,2023-01,"January",13,499.98,38.46,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2023,2023-02,"February",3,205.18,68.39,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2023,2023-03,"March",5,125.68,25.14,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2023,2023-04,"April",8,443.34,55.42,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2023,2023-05,"May",13,644.63,49.59,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2023,2023-06,"June",14,479.55,34.25,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2023,2023-07,"July",9,249.37,27.71,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2023,2023-08,"August",9,330.49,36.72,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2023,2023-09,"September",6,132.99,22.17,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2023,2023-10,"October",9,402.41,44.71,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2023,2023-11,"November",8,290.58,36.32,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2023,2023-12,"December",14,468.41,33.46,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2024,2024-01,"January",6,351.67,58.61,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2024,2024-02,"February",6,232.36,38.73,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2024,2024-03,"March",3,125.18,41.73,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2024,2024-04,"April",6,399.14,66.52,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2024,2024-05,"May",5,130.46,26.09,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2024,2024-06,"June",8,546.3,68.29,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2024,2024-07,"July",6,217.33,36.22,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2024,2024-08,"August",4,185.48,46.37,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2024,2024-09,"September",7,290.68,41.53,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2024,2024-10,"October",4,222.04,55.51,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2024,2024-11,"November",8,387.49,48.44,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2024,2024-12,"December",11,261.5,23.77,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2025,2025-01,"January",3,132.11,44.04,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2025,2025-02,"February",4,145.97,36.49,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2025,2025-03,"March",5,176.85,35.37,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2025,2025-04,"April",5,201.94,40.39,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2025,2025-05,"May",9,282.55,31.39,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2025,2025-06,"June",12,304.03,25.34,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2025,2025-07,"July",10,450.44,45.04,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2025,2025-08,"August",9,406.71,45.19,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2025,2025-09,"September",10,655.96,65.6,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2025,2025-10,"October",11,302.66,27.51,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2025,2025-11,"November",10,279.2,27.92,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2025,2025-12,"December",27,809.85,29.99,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2026,2026-01,"January",8,298.59,37.32,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2026,2026-02,"February",11,219.37,19.94,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2026,2026-03,"March",11,474.13,43.1,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2026,2026-04,"April",7,239.43,34.2,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2026,2026-05,"May",8,402.97,50.37,ACTIVE
"Ahmad Ali","CASHIER","Kota Kinabalu 88 Speedmart",2026,2026-06,"June",5,222.55,44.51,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2022,2022-01,"January",14,452.98,32.36,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2022,2022-02,"February",6,179.64,29.94,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2022,2022-03,"March",8,330.19,41.27,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2022,2022-04,"April",4,157.03,39.26,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2022,2022-05,"May",4,241.09,60.27,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2022,2022-06,"June",9,154.9,17.21,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2022,2022-07,"July",5,260.6,52.12,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2022,2022-08,"August",8,437.4,54.68,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2022,2022-09,"September",8,341.78,42.72,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2022,2022-10,"October",5,254,50.8,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2022,2022-11,"November",12,295.41,24.62,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2022,2022-12,"December",9,257.36,28.6,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2023,2023-01,"January",8,208.62,26.08,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2023,2023-02,"February",2,19.84,9.92,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2023,2023-03,"March",8,429.81,53.73,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2023,2023-04,"April",10,323.47,32.35,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2023,2023-05,"May",9,310.67,34.52,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2023,2023-06,"June",6,509.66,84.94,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2023,2023-07,"July",4,164.89,41.22,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2023,2023-08,"August",3,105.37,35.12,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2023,2023-09,"September",3,163.19,54.4,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2023,2023-10,"October",10,311.53,31.15,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2023,2023-11,"November",10,390.16,39.02,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2023,2023-12,"December",11,327.18,29.74,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2024,2024-01,"January",10,500.7,50.07,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2024,2024-02,"February",6,261.04,43.51,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2024,2024-03,"March",5,222.07,44.41,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2024,2024-04,"April",6,302.13,50.36,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2024,2024-05,"May",8,249.38,31.17,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2024,2024-06,"June",12,492.05,41,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2024,2024-07,"July",10,437.51,43.75,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2024,2024-08,"August",8,509.75,63.72,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2024,2024-09,"September",6,135.49,22.58,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2024,2024-10,"October",8,270.36,33.8,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2024,2024-11,"November",8,214.33,26.79,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2024,2024-12,"December",16,545.87,34.12,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2025,2025-01,"January",17,581.65,34.21,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2025,2025-02,"February",10,396.61,39.66,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2025,2025-03,"March",10,329.64,32.96,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2025,2025-04,"April",5,181.54,36.31,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2025,2025-05,"May",6,187.24,31.21,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2025,2025-06,"June",11,318.29,28.94,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2025,2025-07,"July",12,571.92,47.66,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2025,2025-08,"August",7,290.55,41.51,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2025,2025-09,"September",5,136.93,27.39,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2025,2025-10,"October",4,102.94,25.74,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2025,2025-11,"November",6,237.87,39.65,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2025,2025-12,"December",16,733.35,45.83,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2026,2026-01,"January",20,627.35,31.37,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2026,2026-02,"February",16,485.58,30.35,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2026,2026-03,"March",7,380.25,54.32,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2026,2026-04,"April",10,618.09,61.81,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2026,2026-05,"May",7,266.54,38.08,ACTIVE
"Ahmad Hussein","CASHIER","Seremban 88 Speedmart",2026,2026-06,"June",13,484.57,37.27,ACTIVE
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2023,2023-06,"June",1,2.8,2.8,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2023,2023-07,"July",8,352.89,44.11,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2023,2023-08,"August",2,93.93,46.97,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2023,2023-09,"September",3,140.47,46.82,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2023,2023-10,"October",13,340.2,26.17,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2023,2023-11,"November",10,625.39,62.54,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2023,2023-12,"December",18,705.21,39.18,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2024,2024-01,"January",12,240.58,20.05,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2024,2024-02,"February",9,506.4,56.27,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2024,2024-03,"March",8,195.97,24.5,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2024,2024-04,"April",7,305.86,43.69,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2024,2024-05,"May",11,479.92,43.63,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2024,2024-06,"June",7,260.74,37.25,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2024,2024-07,"July",7,688.08,98.3,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2024,2024-08,"August",6,153.36,25.56,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2024,2024-09,"September",6,193.79,32.3,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2024,2024-10,"October",7,346.03,49.43,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2024,2024-11,"November",8,345.33,43.17,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2024,2024-12,"December",18,556.7,30.93,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2025,2025-01,"January",15,496.65,33.11,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2025,2025-02,"February",5,219.16,43.83,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2025,2025-03,"March",13,660.47,50.81,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2025,2025-04,"April",11,356.08,32.37,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2025,2025-05,"May",7,437.32,62.47,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2025,2025-06,"June",10,219.83,21.98,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2025,2025-07,"July",10,354.84,35.48,RESIGNED
"Ahmad Othman","CASHIER","Kuching 88 Speedmart",2025,2025-08,"August",4,95.44,23.86,RESIGNED
"Ahmad Razak","MANAGER","Cheras 88 Speedmart",2020,2020-04,"April",23,922.29,40.1,ACTIVE
