"CUSTOMER_KEY","CUSTOMER_ID","CUSTOMER_NAME","IS_BENEFICIARY","TIER_NAME","JOIN_DATE","CUSTOMER_TENURE_DAYS","LAST_PURCHASE_DATE","DAYS_SINCE_LAST_PURCHASE","TOTAL_PURCHASES","TOTAL_SALES_AMOUNT","TOTAL_REFUND_AMOUNT","TOTAL_SPENDING","CUSTOMER_LIFETIME_VALUE","AVERAGE_ORDER_VALUE","RECENCY_SCORE","FREQUENCY_SCORE","MONETARY_SCORE","RFM_SEGMENT","CHURN_RISK","PREFERRED_CATEGORY","PREFERRED_BRANCH","PREFERRED_BRANCH_CITY","PREFERRED_BRANCH_STATE"
12011,"C0011","Harish a/l Balakrishnan","N","Non-Member",,,"2025-10-19",254,82,2647.49,0,2647.49,2647.49,32.29,1,5,5,"At Risk","High Risk","Instant Food","Ampang 88 Speedmart","Ampang","Selangor"
12012,"C0012","Fong Yi Wen","N","Non-Member",,,"2024-07-05",725,66,2676.87,0,2676.87,2676.87,40.56,1,5,5,"At Risk","Churned","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12013,"C0013","Chong Wan Ting","N","Normal Member","2020-11-10",2058,"2026-02-01",149,61,2109.94,0,2109.94,2109.94,34.59,2,5,5,"At Risk","Medium Risk","Baby Products","Ampang 88 Speedmart","Ampang","Selangor"
12014,"C0014","Faris bin Mahmud","N","Normal Member","2020-06-02",2219,"2026-06-30",0,37,1563.66,0,1563.66,1563.66,42.26,5,5,5,"Champions","Low Risk","Beverages","Ampang 88 Speedmart","Ampang","Selangor"
12015,"C0015","Nabil bin Omar","N","Non-Member",,,"2023-09-14",1020,19,521.42,0,521.42,521.42,27.44,1,5,4,"At Risk","Churned","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12016,"C0016","Low Ching Yee","N","Normal Member","2021-06-03",1853,"2024-12-30",547,67,3070.89,0,3070.89,3070.89,45.83,1,5,5,"At Risk","Churned","Canned and Packaged Food","Ampang 88 Speedmart","Ampang","Selangor"
12017,"C0017","Nurul binti Zainal","N","Non-Member",,,"2026-01-22",159,21,1056.36,0,1056.36,1056.36,50.3,2,5,5,"At Risk","Medium Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12018,"C0018","Hana binti Fauzi","N","Normal Member","2021-09-13",1751,"2025-07-15",350,21,1005.78,0,1005.78,1005.78,47.89,1,5,5,"At Risk","High Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12019,"C0019","Amir bin Yusof","N","Normal Member","2021-08-21",1774,"2025-03-12",475,33,1123.63,0,1123.63,1123.63,34.05,1,5,5,"At Risk","Churned","Personal Care","Ampang 88 Speedmart","Ampang","Selangor"
12020,"C0020","Maisarah binti Ibrahim","N","Normal Member","2021-07-05",1821,"2024-12-18",559,24,785.27,0,785.27,785.27,32.72,1,5,5,"At Risk","Churned","Frozen Food","Ampang 88 Speedmart","Ampang","Selangor"
12021,"C0021","Ong Jun Hao","N","Normal Member","2021-06-21",1835,"2026-03-16",106,58,1822.78,0,1822.78,1822.78,31.43,2,5,5,"At Risk","Medium Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12022,"C0022","Kaur a/p Maniam","N","Non-Member",,,"2024-11-11",596,30,912.69,0,912.69,912.69,30.42,1,5,5,"At Risk","Churned","Dairy Products","Ampang 88 Speedmart","Ampang","Selangor"
12023,"C0023","Teoh Siew Hong","N","Normal Member","2020-04-02",2280,"2026-03-10",112,65,3124.34,0,3124.34,3124.34,48.07,2,5,5,"At Risk","Medium Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12024,"C0024","Intan binti Jamal","N","Normal Member","2020-09-28",2101,"2025-04-25",431,15,403.69,0,403.69,403.69,26.91,1,4,4,"At Risk","Churned","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12025,"C0025","Kevin a/l Krishnan","N","Normal Member","2021-06-03",1853,"2024-08-27",672,24,657.06,0,657.06,657.06,27.38,1,5,5,"At Risk","Churned","Frozen Food","Ampang 88 Speedmart","Ampang","Selangor"
12026,"C0026","Zahir bin Hassan","N","Normal Member","2021-11-16",1687,"2026-02-26",124,25,913.38,0,913.38,913.38,36.54,2,5,5,"At Risk","Medium Risk","Canned and Packaged Food","Cheras 88 Speedmart","Cheras","Kuala Lumpur"
12027,"C0027","Liyana binti Abdullah","N","Non-Member",,,"2025-10-06",267,21,657.64,0,657.64,657.64,31.32,1,5,5,"At Risk","High Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12028,"C0028","Natalie Nanta","N","VIP Member","2021-04-09",1908,"2025-07-28",337,51,2013,0,2013,2013,39.47,1,5,5,"At Risk","High Risk","Canned and Packaged Food","Ampang 88 Speedmart","Ampang","Selangor"
12029,"C0029","Hana binti Ismail","N","Normal Member","2021-03-13",1935,"2023-11-30",943,103,3339.01,0,3339.01,3339.01,32.42,1,5,5,"At Risk","Churned","Instant Food","Ampang 88 Speedmart","Ampang","Selangor"
12030,"C0030","Khalid bin Mahmud","N","Non-Member",,,"2023-07-15",1081,21,661.26,0,661.26,661.26,31.49,1,5,5,"At Risk","Churned","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12031,"C0031","Zara binti Nasir","N","Non-Member",,,"2026-02-06",144,35,1187.24,0,1187.24,1187.24,33.92,2,5,5,"At Risk","Medium Risk","Cooking Essentials","Ampang 88 Speedmart","Ampang","Selangor"
12032,"C0032","Danish bin Omar","N","Normal Member","2020-03-21",2292,"2025-07-03",362,32,1052,0,1052,1052,32.88,1,5,5,"At Risk","High Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12033,"C0033","Chow Yi Wen","N","Non-Member",,,"2025-10-24",249,44,1152.17,0,1152.17,1152.17,26.19,1,5,5,"At Risk","High Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12034,"C0034","Ong Yi Wen","N","Normal Member","2021-09-26",1738,"2025-08-14",320,70,2707.45,0,2707.45,2707.45,38.68,1,5,5,"At Risk","High Risk","Cooking Essentials","Ampang 88 Speedmart","Ampang","Selangor"
12035,"C0035","Ahmad bin Fauzi","N","Non-Member",,,"2026-05-10",51,31,1132.15,0,1132.15,1132.15,36.52,4,5,5,"Champions","Low Risk","Dairy Products","Ampang 88 Speedmart","Ampang","Selangor"
12036,"C0036","Farhan bin Ibrahim","N","Normal Member","2021-04-19",1898,"2026-06-25",5,19,876.78,0,876.78,876.78,46.15,5,5,5,"Champions","Low Risk","Rice and Grains","Cheras 88 Speedmart","Cheras","Kuala Lumpur"
12037,"C0037","Ishaan bin Abdullah","N","Non-Member",,,"2024-03-09",843,18,573.17,0,573.17,573.17,31.84,1,5,5,"At Risk","Churned","Canned and Packaged Food","Ampang 88 Speedmart","Ampang","Selangor"
12038,"C0038","Imran bin Hassan","N","Normal Member","2021-09-19",1745,"2024-12-07",570,20,1000.44,0,1000.44,1000.44,50.02,1,5,5,"At Risk","Churned","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12039,"C0039","Yeoh Ming Jie","N","VIP Member","2020-06-02",2219,"2026-03-03",119,34,1118.86,0,1118.86,1118.86,32.91,2,5,5,"At Risk","Medium Risk","Dairy Products","Ampang 88 Speedmart","Ampang","Selangor"
12040,"C0040","Raymond Mawan","N","Normal Member","2020-10-24",2075,"2024-01-04",908,15,578.25,0,578.25,578.25,38.55,1,4,5,"At Risk","Churned","Cooking Essentials","Cheras 88 Speedmart","Cheras","Kuala Lumpur"
12041,"C0041","Jannah binti Jamal","N","Normal Member","2020-12-12",2026,"2025-07-13",352,46,1587.57,0,1587.57,1587.57,34.51,1,5,5,"At Risk","High Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12042,"C0042","Ishaan a/l Anand","N","Normal Member","2020-05-07",2245,"2025-02-01",514,21,467.33,0,467.33,467.33,22.25,1,5,4,"At Risk","Churned","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12043,"C0043","Goh Chui Shan","N","Non-Member",,,"2026-05-21",40,22,943.87,0,943.87,943.87,42.9,4,5,5,"Champions","Low Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12044,"C0044","Lim Li Xuan","N","Normal Member","2021-09-05",1759,"2026-01-27",154,23,908,0,908,908,39.48,2,5,5,"At Risk","Medium Risk","Cooking Essentials","Ampang 88 Speedmart","Ampang","Selangor"
12045,"C0045","Ahmad bin Ishak","N","Non-Member",,,"2025-04-26",430,18,890.7,0,890.7,890.7,49.48,1,5,5,"At Risk","Churned","Personal Care","Cheras 88 Speedmart","Cheras","Kuala Lumpur"
12046,"C0046","Kevin Kedit","N","VIP Member","2020-09-19",2110,"2024-05-13",778,44,1146.44,0,1146.44,1146.44,26.06,1,5,5,"At Risk","Churned","Snacks and Confectionery","Ampang 88 Speedmart","Ampang","Selangor"
12047,"C0047","Lee Ming Jie","N","Non-Member",,,"2025-05-22",404,17,530.28,0,530.28,530.28,31.19,1,5,4,"At Risk","Churned","Baby Products","Ampang 88 Speedmart","Ampang","Selangor"
12048,"C0048","Low Shi Hao","N","Non-Member",,,"2025-06-23",372,36,1080.89,0,1080.89,1080.89,30.02,1,5,5,"At Risk","Churned","Dairy Products","Ampang 88 Speedmart","Ampang","Selangor"
12049,"C0049","Chong Jia En","N","Normal Member","2020-05-15",2237,"2025-12-09",203,18,778.18,0,778.18,778.18,43.23,1,5,5,"At Risk","High Risk","Dairy Products","Ampang 88 Speedmart","Ampang","Selangor"
12050,"C0050","Sabrina binti Kamal","N","Non-Member",,,"2026-03-08",114,17,675.65,0,675.65,675.65,39.74,2,5,5,"At Risk","Medium Risk","Household Cleaning","Ampang 88 Speedmart","Ampang","Selangor"
12051,"C0051","Khadijah binti Yusof","N","Non-Member",,,"2025-01-29",517,15,947.49,0,947.49,947.49,63.17,1,4,5,"At Risk","Churned","Canned and Packaged Food","Ampang 88 Speedmart","Ampang","Selangor"
12052,"C0052","Aiman bin Zainal","N","Normal Member","2020-10-23",2076,"2025-12-30",182,15,496.55,0,496.55,496.55,33.1,1,4,4,"At Risk","High Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12053,"C0053","Nabil bin Ismail","N","Normal Member","2020-11-21",2047,"2025-06-13",382,22,666.51,0,666.51,666.51,30.3,1,5,5,"At Risk","Churned","Dairy Products","Ampang 88 Speedmart","Ampang","Selangor"
12054,"C0054","Loh Xin Yi","N","Non-Member",,,"2025-07-03",362,27,855.17,0,855.17,855.17,31.67,1,5,5,"At Risk","High Risk","Personal Care","Ampang 88 Speedmart","Ampang","Selangor"
12055,"C0055","Devi a/p Gopal","N","Normal Member","2021-05-03",1884,"2024-06-05",755,14,645.41,0,645.41,645.41,46.1,1,4,5,"At Risk","Churned","Household Cleaning","Ampang 88 Speedmart","Ampang","Selangor"
12056,"C0056","Rafiq bin Hamid","N","Normal Member","2020-03-07",2306,"2024-10-21",617,25,1279.42,0,1279.42,1279.42,51.18,1,5,5,"At Risk","Churned","Cooking Essentials","Ampang 88 Speedmart","Ampang","Selangor"
12057,"C0057","Syahirah binti Kamal","N","Non-Member",,,"2026-03-12",110,35,1049.53,0,1049.53,1049.53,29.99,2,5,5,"At Risk","Medium Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12058,"C0058","Ng Ching Yee","N","Non-Member",,,"2025-09-12",291,22,700.25,0,700.25,700.25,31.83,1,5,5,"At Risk","High Risk","Beverages","Ampang 88 Speedmart","Ampang","Selangor"
12059,"C0059","Koh Zhi Hao","N","Normal Member","2021-04-22",1895,"2025-12-10",202,46,1975.02,0,1975.02,1975.02,42.94,1,5,5,"At Risk","High Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12060,"C0060","Amir bin Hamid","N","VIP Member","2020-11-14",2054,"2026-06-09",21,23,757.06,0,757.06,757.06,32.92,5,5,5,"Champions","Low Risk","Canned and Packaged Food","Ampang 88 Speedmart","Ampang","Selangor"
12061,"C0061","Hafiz bin Kamal","N","Normal Member","2021-01-20",1987,"2025-07-26",339,39,1657.32,0,1657.32,1657.32,42.5,1,5,5,"At Risk","High Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12062,"C0062","Akmal bin Basri","N","Normal Member","2020-05-17",2235,"2026-05-23",38,24,761.81,0,761.81,761.81,31.74,4,5,5,"Champions","Low Risk","Cooking Essentials","Ampang 88 Speedmart","Ampang","Selangor"
12063,"C0063","Nabilah binti Omar","N","Normal Member","2021-10-14",1720,"2026-04-13",78,18,678.43,0,678.43,678.43,37.69,3,5,5,"Loyal Customers","Low Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12064,"C0064","Zahir bin Abdullah","N","Normal Member","2020-08-26",2134,"2023-12-19",924,24,674.2,0,674.2,674.2,28.09,1,5,5,"At Risk","Churned","Personal Care","Ampang 88 Speedmart","Ampang","Selangor"
12065,"C0065","Ho Li Xuan","N","Normal Member","2020-04-30",2252,"2025-12-12",200,50,2372.33,0,2372.33,2372.33,47.45,1,5,5,"At Risk","High Risk","Dairy Products","Ampang 88 Speedmart","Ampang","Selangor"
12066,"C0066","Farhan bin Nasir","N","VIP Member","2020-07-07",2184,"2026-05-24",37,18,689.69,0,689.69,689.69,38.32,4,5,5,"Champions","Low Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12067,"C0067","Lim Zhi Hao","N","VIP Member","2021-04-12",1905,"2025-12-07",205,28,1160.42,0,1160.42,1160.42,41.44,1,5,5,"At Risk","High Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12068,"C0068","Yeoh Shu Fen","N","Normal Member","2021-01-20",1987,"2023-02-05",1241,39,938.32,0,938.32,938.32,24.06,1,5,5,"At Risk","Churned","Canned and Packaged Food","Cheras 88 Speedmart","Cheras","Kuala Lumpur"
12069,"C0069","Chin Zhi Qing","N","Non-Member",,,"2024-05-19",772,18,1079.82,0,1079.82,1079.82,59.99,1,5,5,"At Risk","Churned","Household Cleaning","Ampang 88 Speedmart","Ampang","Selangor"
12070,"C0070","Koh Mei Qi","N","Non-Member",,,"2025-12-30",182,18,478.99,0,478.99,478.99,26.61,1,5,4,"At Risk","High Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12071,"C0071","Loh Seng Huat","N","Normal Member","2021-05-10",1877,"2025-08-22",312,13,626.45,0,626.45,626.45,48.19,1,4,5,"At Risk","High Risk","Rice and Grains","Cheras 88 Speedmart","Cheras","Kuala Lumpur"
12072,"C0072","Syafiq bin Basri","N","Non-Member",,,"2026-01-29",152,29,1324.34,0,1324.34,1324.34,45.67,2,5,5,"At Risk","Medium Risk","Beverages","Ampang 88 Speedmart","Ampang","Selangor"
12073,"C0073","Ong Wai Keong","N","VIP Member","2020-07-12",2179,"2026-01-05",176,50,1759.31,0,1759.31,1759.31,35.19,2,5,5,"At Risk","Medium Risk","Household Cleaning","Ampang 88 Speedmart","Ampang","Selangor"
12074,"C0074","Ng Wei Lun","N","Non-Member",,,"2026-04-11",80,43,1540.13,0,1540.13,1540.13,35.82,3,5,5,"Loyal Customers","Low Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12075,"C0075","Wong Wan Ting","N","Non-Member",,,"2026-05-23",38,46,1503.19,0,1503.19,1503.19,32.68,4,5,5,"Champions","Low Risk","Cooking Essentials","Ampang 88 Speedmart","Ampang","Selangor"
12076,"C0076","Farhan bin Azman","N","Normal Member","2021-11-02",1701,"2025-08-28",306,12,508.37,0,508.37,508.37,42.36,1,4,4,"At Risk","High Risk","Cooking Essentials","Ampang 88 Speedmart","Ampang","Selangor"
12077,"C0077","Lakshmi a/p Anand","N","Non-Member",,,"2024-08-11",688,47,1511.82,0,1511.82,1511.82,32.17,1,5,5,"At Risk","Churned","Rice and Grains","Cheras 88 Speedmart","Cheras","Kuala Lumpur"
12078,"C0078","Nurul binti Ismail","N","Normal Member","2021-12-20",1653,"2026-04-30",61,22,1248.25,0,1248.25,1248.25,56.74,3,5,5,"Loyal Customers","Low Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12079,"C0079","Koh Hong Sheng","N","Normal Member","2021-08-06",1789,"2025-11-08",234,19,968.5,0,968.5,968.5,50.97,1,5,5,"At Risk","High Risk","Frozen Food","Ampang 88 Speedmart","Ampang","Selangor"
12080,"C0080","Chow Shu Fen","N","Non-Member",,,"2024-12-07",570,19,638.86,0,638.86,638.86,33.62,1,5,5,"At Risk","Churned","Baby Products","Ampang 88 Speedmart","Ampang","Selangor"
12081,"C0081","Maisarah binti Daud","N","Normal Member","2021-01-23",1984,"2024-02-10",871,19,592.29,0,592.29,592.29,31.17,1,5,5,"At Risk","Churned","Canned and Packaged Food","Ampang 88 Speedmart","Ampang","Selangor"
12082,"C0082","Syahirah binti Kamal","N","Non-Member",,,"2026-01-22",159,25,1261.37,0,1261.37,1261.37,50.45,2,5,5,"At Risk","Medium Risk","Snacks and Confectionery","Cheras 88 Speedmart","Cheras","Kuala Lumpur"
12083,"C0083","Maisarah binti Ibrahim","N","Normal Member","2021-08-25",1770,"2023-07-04",1092,13,597.58,0,597.58,597.58,45.97,1,4,5,"At Risk","Churned","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12084,"C0084","Chew Zhi Qing","N","Normal Member","2021-10-05",1729,"2025-12-24",188,12,365.87,0,365.87,365.87,30.49,1,4,4,"At Risk","High Risk","Dairy Products","Ampang 88 Speedmart","Ampang","Selangor"
12085,"C0085","Irfan bin Hassan","N","Normal Member","2020-05-13",2239,"2024-02-09",872,25,672.03,0,672.03,672.03,26.88,1,5,5,"At Risk","Churned","Rice and Grains","Cheras 88 Speedmart","Cheras","Kuala Lumpur"
12086,"C0086","Liyana binti Ahmad","N","Normal Member","2022-01-03",1639,"2024-11-05",602,25,719.13,0,719.13,719.13,28.77,1,5,5,"At Risk","Churned","Household Cleaning","Ampang 88 Speedmart","Ampang","Selangor"
12087,"C0087","Deepa a/p Kaur","N","Normal Member","2020-10-18",2081,"2026-06-10",20,12,462.95,0,462.95,462.95,38.58,5,4,4,"Champions","Low Risk","Baby Products","Petaling Jaya 88 Speedmart","Petaling Jaya","Selangor"
12088,"C0088","Loh Shu Fen","N","Normal Member","2020-03-04",2309,"2025-12-29",183,13,332.67,0,332.67,332.67,25.59,1,4,3,"At Risk","High Risk","Frozen Food","Cheras 88 Speedmart","Cheras","Kuala Lumpur"
12089,"C0089","Syahirah binti Azman","N","Normal Member","2021-10-26",1708,"2025-08-03",331,14,388.31,0,388.31,388.31,27.74,1,4,4,"At Risk","High Risk","Rice and Grains","Klang 88 Speedmart","Klang","Selangor"
12090,"C0090","Khadijah binti Razak","N","VIP Member","2021-01-27",1980,"2026-06-06",24,20,840.67,0,840.67,840.67,42.03,5,5,5,"Champions","Low Risk","Dairy Products","Ampang 88 Speedmart","Ampang","Selangor"
12091,"C0091","Yeoh Yi Wen","N","VIP Member","2021-01-22",1985,"2024-08-01",698,13,825.98,0,825.98,825.98,63.54,1,4,5,"At Risk","Churned","Dairy Products","Petaling Jaya 88 Speedmart","Petaling Jaya","Selangor"
12092,"C0092","Tan Ching Yee","N","Normal Member","2021-12-27",1646,"2024-11-13",594,18,875.18,0,875.18,875.18,48.62,1,5,5,"At Risk","Churned","Rice and Grains","Cheras 88 Speedmart","Cheras","Kuala Lumpur"
12093,"C0093","Liyana binti Hamid","N","Normal Member","2021-01-21",1986,"2024-11-11",596,22,948.18,0,948.18,948.18,43.1,1,5,5,"At Risk","Churned","Cooking Essentials","Ampang 88 Speedmart","Ampang","Selangor"
12094,"C0094","Chan Boon Hui","N","Normal Member","2020-02-17",2325,"2025-09-22",281,42,1750.01,0,1750.01,1750.01,41.67,1,5,5,"At Risk","High Risk","Household Cleaning","Ampang 88 Speedmart","Ampang","Selangor"
12095,"C0095","Zahir bin Daud","N","Normal Member","2021-02-02",1974,"2025-03-25",462,15,482.48,0,482.48,482.48,32.17,1,4,4,"At Risk","Churned","Beverages","Ampang 88 Speedmart","Ampang","Selangor"
12096,"C0096","Chong Mei Qi","N","Non-Member",,,"2024-08-21",678,17,760.24,0,760.24,760.24,44.72,1,5,5,"At Risk","Churned","Cooking Essentials","Ampang 88 Speedmart","Ampang","Selangor"
12097,"C0097","Yeoh Li Xuan","N","Normal Member","2020-08-13",2147,"2024-06-16",744,47,1466.78,0,1466.78,1466.78,31.21,1,5,5,"At Risk","Churned","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12098,"C0098","Chin Hui Ying","N","Normal Member","2020-05-21",2231,"2026-02-08",142,11,405.66,0,405.66,405.66,36.88,2,4,4,"At Risk","Medium Risk","Beverages","Shah Alam 88 Speedmart","Shah Alam","Selangor"
12099,"C0099","Sonia a/p Kaur","N","Non-Member",,,"2025-12-30",182,22,515.5,0,515.5,515.5,23.43,1,5,4,"At Risk","High Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12100,"C0100","Mardhiah binti Jamal","N","Non-Member",,,"2025-07-14",351,61,1988.31,0,1988.31,1988.31,32.6,1,5,5,"At Risk","High Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12101,"C0101","Ong Seng Huat","N","Normal Member","2021-08-02",1793,"2024-12-08",569,11,482.84,0,482.84,482.84,43.89,1,4,4,"At Risk","Churned","Rice and Grains","George Town 88 Speedmart","George Town","Penang"
12102,"C0102","Chew Zhi Hao","N","Non-Member",,,"2026-06-14",16,14,602.21,0,602.21,602.21,43.02,5,4,5,"Champions","Low Risk","Canned and Packaged Food","Petaling Jaya 88 Speedmart","Petaling Jaya","Selangor"
12103,"C0103","Tan Kai Xin","N","Normal Member","2020-11-28",2040,"2026-03-11",111,19,745.36,0,745.36,745.36,39.23,2,5,5,"At Risk","Medium Risk","Cooking Essentials","Ampang 88 Speedmart","Ampang","Selangor"
12104,"C0104","Nadia binti Mahmud","N","Normal Member","2021-01-30",1977,"2026-01-25",156,20,634.69,0,634.69,634.69,31.73,2,5,5,"At Risk","Medium Risk","Canned and Packaged Food","Cheras 88 Speedmart","Cheras","Kuala Lumpur"
12105,"C0105","Ivan a/l Raman","N","VIP Member","2020-04-05",2277,"2026-03-04",118,15,711.93,0,711.93,711.93,47.46,2,4,5,"At Risk","Medium Risk","Dairy Products","George Town 88 Speedmart","George Town","Penang"
12106,"C0106","Adilah binti Nasir","N","Normal Member","2021-06-13",1843,"2025-02-21",494,48,1998.79,0,1998.79,1998.79,41.64,1,5,5,"At Risk","Churned","Baby Products","Ampang 88 Speedmart","Ampang","Selangor"
12107,"C0107","Ahmad bin Daud","N","Normal Member","2021-09-27",1737,"2024-04-21",800,16,849.05,0,849.05,849.05,53.07,1,5,5,"At Risk","Churned","Rice and Grains","Cheras 88 Speedmart","Cheras","Kuala Lumpur"
12108,"C0108","Wong Zhi Hao","N","Non-Member",,,"2024-01-28",884,14,545.87,0,545.87,545.87,38.99,1,4,4,"At Risk","Churned","Canned and Packaged Food","Petaling Jaya 88 Speedmart","Petaling Jaya","Selangor"
12109,"C0109","Ong Jia Wei","N","VIP Member","2020-10-27",2072,"2026-05-23",38,15,483.53,0,483.53,483.53,32.24,4,4,4,"Champions","Low Risk","Canned and Packaged Food","Ampang 88 Speedmart","Ampang","Selangor"
12110,"C0110","Danish bin Azman","N","Normal Member","2021-07-30",1796,"2023-08-04",1061,15,520.04,0,520.04,520.04,34.67,1,4,4,"At Risk","Churned","Baby Products","Ampang 88 Speedmart","Ampang","Selangor"
12111,"C0111","Sonia Janting","N","Normal Member","2022-02-20",1591,"2024-12-10",567,24,798.87,0,798.87,798.87,33.29,1,5,5,"At Risk","Churned","Instant Food","Cheras 88 Speedmart","Cheras","Kuala Lumpur"
12112,"C0112","Nabilah binti Basri","N","Non-Member",,,"2024-07-12",718,26,977.36,0,977.36,977.36,37.59,1,5,5,"At Risk","Churned","Dairy Products","Ampang 88 Speedmart","Ampang","Selangor"
12113,"C0113","Lim Wei Lun","N","Non-Member",,,"2025-04-19",437,34,953.61,0,953.61,953.61,28.05,1,5,5,"At Risk","Churned","Cooking Essentials","Cheras 88 Speedmart","Cheras","Kuala Lumpur"
12114,"C0114","Chow Wei Lun","N","Normal Member","2021-12-15",1658,"2023-10-14",990,29,717.71,0,717.71,717.71,24.75,1,5,5,"At Risk","Churned","Beverages","Ampang 88 Speedmart","Ampang","Selangor"
12115,"C0115","Ong Wai Keong","N","Normal Member","2020-10-10",2089,"2026-02-23",127,20,804.7,0,804.7,804.7,40.24,2,5,5,"At Risk","Medium Risk","Cooking Essentials","Cheras 88 Speedmart","Cheras","Kuala Lumpur"
