OrderID,ContactName,ContactPhone,ContactEmail,FulfillmentType,OrderDateTime,OrderStatus,SubtotalAmount,VoucherDiscountAmount,MyKasihSubsidyTotal,GrandTotal,PaymentMethod,PaymentStatus,PaymentDateTime,CustomerID,BranchID,VoucherID,StaffID
O00009,,,,PICKUP,2024-01-19 19:28:11,COMPLETED,91.02,0.0,0.0,91.02,CASH,PAID,2024-01-19 19:32:21,C0003,B010,,
O00017,,,,WALK_IN,2024-01-20 15:40:31,COMPLETED,142.7,0.0,0.0,142.7,CASH,PAID,2024-01-20 15:45:02,C0002,B001,,S0012
O00004,,,,WALK_IN,2024-01-20 20:04:20,COMPLETED,104.22,0.0,0.0,104.22,CASH,PAID,2024-01-20 20:06:59,C0004,B002,,
O00043,Goh Jia Wei,+60124834068,goh.jia.wei.c0002@example.test,DELIVERY,2024-01-21 13:06:21,COMPLETED,127.92,0.0,0.0,139.27,CARD,PAID,2024-01-21 13:07:46,C0002,B001,,S0012
O00040,,,,WALK_IN,2024-01-21 13:43:52,COMPLETED,216.2,0.0,0.0,216.2,CASH,PAID,2024-01-21 13:48:11,,B001,,S0012
O00026,,,,WALK_IN,2024-01-21 13:45:45,COMPLETED,31.96,0.0,0.0,31.96,CASH,PAID,2024-01-21 13:46:37,C0001,B002,,
O00048,Guest User,+60147643637,guest48@example.test,WALK_IN,2024-01-21 14:27:58,COMPLETED,365.96,0.0,0.0,365.96,CARD,PAID,2024-01-21 14:30:51,,B010,,
O00014,Guest User,+60172863553,guest14@example.test,PICKUP,2024-01-22 20:59:59,COMPLETED,170.02,0.0,0.0,170.02,CARD,PAID,2024-01-22 21:02:21,,B001,,S0012
O00010,,,,WALK_IN,2024-01-23 09:11:24,COMPLETED,132.38,0.0,0.0,132.38,CASH,PAID,2024-01-23 09:11:59,C0004,B001,,S0012
O00007,,,,WALK_IN,2024-01-24 16:10:21,COMPLETED,143.45,0.0,0.0,143.45,CASH,PAID,2024-01-24 16:10:57,,B008,,
O00003,,,,WALK_IN,2024-01-25 10:39:53,COMPLETED,312.3,0.0,0.0,312.3,CASH,PAID,2024-01-25 10:41:30,C0004,B002,,
O00051,,,,WALK_IN,2024-01-25 14:49:41,COMPLETED,216.74,0.0,0.0,216.74,CASH,PAID,2024-01-25 14:51:12,C0001,B002,,
O00015,,,,WALK_IN,2024-01-25 15:28:16,COMPLETED,156.84,0.0,0.0,156.84,CASH,PAID,2024-01-25 15:30:40,C0002,B008,,
O00050,Guest User,+60111795909,guest50@example.test,PICKUP,2024-01-25 19:01:59,COMPLETED,80.37,0.0,0.0,80.37,CASH,PAID,2024-01-25 19:04:49,,B004,,S0047
O00020,,,,WALK_IN,2024-01-26 09:20:48,COMPLETED,298.95,0.0,0.0,298.95,CASH,PAID,2024-01-26 09:21:35,C0004,B002,,
O00042,,,,WALK_IN,2024-01-26 17:10:49,COMPLETED,79.45,0.0,0.0,79.45,CASH,PAID,2024-01-26 17:13:13,C0004,B001,,S0012
O00047,,,,PICKUP,2024-01-27 12:24:40,COMPLETED,57.39,0.0,0.0,57.39,CASH,PAID,2024-01-27 12:27:47,C0004,B010,,
O00012,,,,WALK_IN,2024-01-27 16:37:59,COMPLETED,172.64,0.0,0.0,172.64,ONLINE_BANKING,PAID,2024-01-27 16:41:31,C0003,B001,,S0012
O00018,,,,WALK_IN,2024-01-27 18:32:40,COMPLETED,134.14,0.0,0.0,134.14,CASH,PAID,2024-01-27 18:33:01,C0004,B002,,
O00031,Meera a/p Suresh,+60102352781,meera.a.p.suresh.c0004@example.test,DELIVERY,2024-01-28 09:33:21,CANCELLED,130.48,0.0,0.0,145.28,E_WALLET,FAILED,,C0004,B001,,S0012
O00037,,,,PICKUP,2024-01-28 10:10:41,COMPLETED,233.85,0.0,0.0,233.85,CASH,PAID,2024-01-28 10:13:23,C0003,B002,,
O00035,,,,WALK_IN,2024-01-28 16:23:35,COMPLETED,344.54,0.0,0.0,344.54,CASH,PAID,2024-01-28 16:25:24,,B010,,
O00019,,,,WALK_IN,2024-01-28 17:58:52,COMPLETED,136.62,0.0,0.0,136.62,CARD,PAID,2024-01-28 18:01:03,C0004,B008,,
O00001,,,,WALK_IN,2024-01-29 17:58:23,COMPLETED,221.65,0.0,0.0,221.65,CASH,PAID,2024-01-29 18:03:05,C0002,B002,,
O00025,Meera a/p Suresh,+60102352781,meera.a.p.suresh.c0004@example.test,DELIVERY,2024-01-30 14:36:24,COMPLETED,144.84,0.0,0.0,163.48,CARD,PAID,2024-01-30 14:40:52,C0004,B001,,S0012
O00029,,,,WALK_IN,2024-01-31 16:53:54,COMPLETED,231.58,0.0,0.0,231.58,CASH,PAID,2024-01-31 16:58:44,C0003,B002,,
O00022,,,,WALK_IN,2024-01-31 19:46:28,COMPLETED,338.96,0.0,0.0,338.96,CASH,PAID,2024-01-31 19:50:50,C0004,B004,,
O00110,Guest User,+60134895338,guest110@example.test,WALK_IN,2024-02-01 18:09:25,COMPLETED,86.29,0.0,0.0,86.29,CASH,PAID,2024-02-01 18:14:25,,B004,,
O00052,,,,WALK_IN,2024-02-02 10:30:46,COMPLETED,124.43,0.0,0.0,124.43,CASH,PAID,2024-02-02 10:33:08,C0006,B008,,
O00055,,,,WALK_IN,2024-02-02 10:37:09,COMPLETED,126.04,0.0,0.0,126.04,E_WALLET,PAID,2024-02-02 10:38:25,C0006,B011,,
O00076,,,,WALK_IN,2024-02-02 15:14:03,COMPLETED,375.04,0.0,0.0,375.04,CARD,PAID,2024-02-02 15:15:14,,B001,,S0012
O00074,,,,WALK_IN,2024-02-02 16:54:08,COMPLETED,197.43,0.0,0.0,197.43,CASH,PAID,2024-02-02 16:58:51,C0005,B010,,
O00113,,,,PICKUP,2024-02-02 18:46:08,COMPLETED,83.37,0.0,0.0,83.37,CASH,PAID,2024-02-02 18:46:29,C0006,B002,,
O00096,Guest User,+60121872195,guest96@example.test,PICKUP,2024-02-02 19:37:05,COMPLETED,216.8,0.0,0.0,216.8,CASH,PAID,2024-02-02 19:39:07,,B001,,S0012
O00093,,,,WALK_IN,2024-02-02 20:20:08,COMPLETED,191.5,0.0,0.0,191.5,CARD,PAID,2024-02-02 20:24:11,C0006,B001,,S0012
O00094,,,,WALK_IN,2024-02-03 10:11:29,COMPLETED,176.8,0.0,0.0,176.8,ONLINE_BANKING,PAID,2024-02-03 10:14:41,C0002,B008,,
O00105,,,,PICKUP,2024-02-03 13:22:13,CANCELLED,158.12,0.0,0.0,158.12,CASH,FAILED,,C0002,B010,,
O00106,,,,PICKUP,2024-02-04 10:33:58,COMPLETED,253.87,0.0,0.0,253.87,CASH,PAID,2024-02-04 10:37:21,C0002,B008,,
O00062,,,,WALK_IN,2024-02-05 10:25:32,CANCELLED,290.86,0.0,0.0,290.86,ONLINE_BANKING,FAILED,,C0006,B002,,
O00079,Goh Jia Wei,+60124834068,goh.jia.wei.c0002@example.test,DELIVERY,2024-02-05 11:56:49,COMPLETED,174.59,0.0,0.0,192.83,CARD,PAID,2024-02-05 12:01:41,C0002,B002,,
O00075,Guest User,+60177419257,guest75@example.test,PICKUP,2024-02-05 12:28:52,COMPLETED,251.1,0.0,0.0,251.1,CARD,PAID,2024-02-05 12:31:34,,B008,,
O00077,Guest User,+60128174034,guest77@example.test,PICKUP,2024-02-05 16:12:09,COMPLETED,93.86,0.0,0.0,93.86,E_WALLET,PAID,2024-02-05 16:14:34,,B002,,
O00082,,,,WALK_IN,2024-02-05 20:59:07,COMPLETED,143.4,0.0,0.0,143.4,E_WALLET,PAID,2024-02-05 21:01:40,C0004,B001,,S0012
O00073,Guest User,+60147135698,guest73@example.test,PICKUP,2024-02-06 19:58:03,COMPLETED,189.69,0.0,0.0,189.69,CARD,PAID,2024-02-06 19:59:05,,B008,,
O00063,Guest User,+60143884297,guest63@example.test,PICKUP,2024-02-07 08:34:17,COMPLETED,107.23,0.0,0.0,107.23,CASH,PAID,2024-02-07 08:37:42,,B008,,
O00066,Guest User,+60123500098,guest66@example.test,PICKUP,2024-02-07 16:43:12,COMPLETED,115.04,0.0,0.0,115.04,CASH,PAID,2024-02-07 16:45:29,,B001,,S0012
O00085,,,,WALK_IN,2024-02-08 11:50:53,COMPLETED,398.87,0.0,0.0,398.87,CASH,PAID,2024-02-08 11:51:38,C0008,B007,,
O00084,Guest User,+60116821612,guest84@example.test,PICKUP,2024-02-08 14:34:28,COMPLETED,84.42,0.0,0.0,84.42,ONLINE_BANKING,PAID,2024-02-08 14:37:44,,B001,,S0012
O00098,Guest User,+60176472484,guest98@example.test,WALK_IN,2024-02-08 16:11:16,COMPLETED,20.18,0.0,0.0,20.18,CARD,PAID,2024-02-08 16:15:23,,B007,,
O00081,,,,WALK_IN,2024-02-08 16:49:51,COMPLETED,87.03,0.0,0.0,87.03,ONLINE_BANKING,PAID,2024-02-08 16:51:49,,B004,,
O00053,Guest User,+60108113664,guest53@example.test,WALK_IN,2024-02-08 18:09:37,COMPLETED,185.4,0.0,0.0,185.4,CASH,PAID,2024-02-08 18:12:47,,B002,,
O00065,Guest User,+60117661787,guest65@example.test,PICKUP,2024-02-09 11:17:02,COMPLETED,185.13,0.0,0.0,185.13,ONLINE_BANKING,PAID,2024-02-09 11:20:36,,B010,,
O00097,Zara binti Abdullah,+60179279437,zara.binti.abdullah.c0007@example.test,DELIVERY,2024-02-09 16:56:16,COMPLETED,91.87,0.0,0.0,111.07,ONLINE_BANKING,PAID,2024-02-09 16:59:50,C0007,B008,,
O00088,,,,WALK_IN,2024-02-09 17:44:15,COMPLETED,230.89,0.0,0.0,230.89,CARD,PAID,2024-02-09 17:48:27,,B007,,
O00072,,,,WALK_IN,2024-02-10 16:35:43,COMPLETED,136.95,0.0,0.0,136.95,CASH,PAID,2024-02-10 16:36:15,C0006,B002,,
O00107,,,,WALK_IN,2024-02-10 16:43:35,COMPLETED,84.21,0.0,0.0,84.21,CASH,PAID,2024-02-10 16:45:58,C0006,B004,,
O00078,,,,WALK_IN,2024-02-11 20:18:21,COMPLETED,104.25,0.0,0.0,104.25,CASH,PAID,2024-02-11 20:22:11,C0002,B001,,S0012
O00095,,,,WALK_IN,2024-02-11 20:37:27,COMPLETED,112.96,0.0,0.0,112.96,CASH,PAID,2024-02-11 20:40:32,C0001,B002,,
O00060,,,,WALK_IN,2024-02-12 16:35:25,COMPLETED,50.21,0.0,0.0,50.21,CARD,PAID,2024-02-12 16:36:30,C0002,B001,,S0012
O00069,,,,WALK_IN,2024-02-13 19:35:28,COMPLETED,314.07,0.0,0.0,314.07,CARD,PAID,2024-02-13 19:40:13,C0006,B001,,S0012
O00067,,,,WALK_IN,2024-02-15 09:12:05,COMPLETED,80.08,0.0,0.0,80.08,CASH,PAID,2024-02-15 09:13:22,C0004,B002,,
O00099,,,,WALK_IN,2024-02-16 13:03:34,COMPLETED,57.24,0.0,0.0,57.24,CASH,PAID,2024-02-16 13:07:18,C0006,B008,,
O00109,Guest User,+60199285673,guest109@example.test,DELIVERY,2024-02-16 14:50:08,COMPLETED,174.6,0.0,0.0,183.16,CARD,PAID,2024-02-16 14:51:32,,B002,,
O00108,,,,WALK_IN,2024-02-17 11:31:54,COMPLETED,269.72,0.0,0.0,269.72,CASH,PAID,2024-02-17 11:36:36,,B010,,
O00111,Guest User,+60182091930,guest111@example.test,WALK_IN,2024-02-17 12:01:18,COMPLETED,430.38,0.0,0.0,430.38,E_WALLET,PAID,2024-02-17 12:06:09,,B008,,
O00089,,,,WALK_IN,2024-02-17 15:14:15,COMPLETED,222.24,0.0,0.0,222.24,CARD,PAID,2024-02-17 15:14:51,C0008,B002,,
O00059,,,,WALK_IN,2024-02-18 10:00:16,COMPLETED,128.28,0.0,0.0,128.28,ONLINE_BANKING,PAID,2024-02-18 10:01:15,C0007,B001,,S0012
O00056,,,,WALK_IN,2024-02-18 11:40:05,COMPLETED,9.37,0.0,0.0,9.37,CASH,PAID,2024-02-18 11:43:01,C0006,B001,,S0012
O00080,,,,WALK_IN,2024-02-18 15:21:33,COMPLETED,134.17,0.0,0.0,134.17,CASH,PAID,2024-02-18 15:23:39,C0003,B011,,S0111
O00083,,,,WALK_IN,2024-02-18 18:39:50,COMPLETED,168.4,0.0,0.0,168.4,CASH,PAID,2024-02-18 18:41:47,,B004,,S0052
O00104,,,,PICKUP,2024-02-19 08:07:13,COMPLETED,268.12,0.0,0.0,268.12,CASH,PAID,2024-02-19 08:11:45,C0001,B007,,
O00061,,,,WALK_IN,2024-02-20 19:02:33,COMPLETED,20.18,0.0,0.0,20.18,CASH,PAID,2024-02-20 19:06:10,,B002,,
O00057,,,,WALK_IN,2024-02-21 12:32:21,COMPLETED,106.83,0.0,0.0,106.83,CASH,PAID,2024-02-21 12:35:21,C0005,B007,,
O00092,,,,WALK_IN,2024-02-23 11:25:48,COMPLETED,89.9,0.0,0.0,89.9,CASH,PAID,2024-02-23 11:28:41,C0008,B002,,
O00086,,,,WALK_IN,2024-02-23 19:23:08,COMPLETED,58.3,0.0,0.0,58.3,CASH,PAID,2024-02-23 19:26:37,C0009,B001,,S0012
O00100,,,,WALK_IN,2024-02-23 20:03:32,COMPLETED,215.93,0.0,0.0,215.93,CASH,PAID,2024-02-23 20:04:33,,B002,,
O00064,Guest User,+60132112040,guest64@example.test,WALK_IN,2024-02-24 14:49:12,COMPLETED,102.42,0.0,0.0,102.42,CASH,PAID,2024-02-24 14:52:23,,B001,,S0012
O00070,Guest User,+60168265200,guest70@example.test,PICKUP,2024-02-24 17:18:08,COMPLETED,130.76,0.0,0.0,130.76,CARD,PAID,2024-02-24 17:21:08,,B001,,
O00103,,,,WALK_IN,2024-02-24 17:35:22,COMPLETED,287.44,0.0,0.0,287.44,ONLINE_BANKING,PAID,2024-02-24 17:39:51,C0007,B007,,
O00112,Guest User,+60111478472,guest112@example.test,WALK_IN,2024-02-25 15:25:57,COMPLETED,193.67,0.0,0.0,193.67,CASH,PAID,2024-02-25 15:26:56,,B001,,S0012
O00058,,,,WALK_IN,2024-02-25 16:10:35,COMPLETED,239.11,0.0,0.0,239.11,CASH,PAID,2024-02-25 16:11:06,C0004,B004,,S0052
O00102,,,,WALK_IN,2024-02-25 16:57:43,COMPLETED,171.77,0.0,0.0,171.77,CARD,PAID,2024-02-25 16:58:29,C0001,B001,,S0012
O00087,Guest User,+60103388754,guest87@example.test,WALK_IN,2024-02-25 17:26:53,COMPLETED,250.94,0.0,0.0,250.94,CARD,PAID,2024-02-25 17:27:51,,B010,,
O00091,,,,WALK_IN,2024-02-25 20:03:02,COMPLETED,192.82,0.0,0.0,192.82,CARD,PAID,2024-02-25 20:05:53,C0007,B008,,
O00054,Guest User,+60121535506,guest54@example.test,PICKUP,2024-02-27 10:33:14,COMPLETED,9.38,0.0,0.0,9.38,CASH,PAID,2024-02-27 10:33:49,,B002,,
O00068,,,,WALK_IN,2024-02-27 13:45:58,COMPLETED,396.4,0.0,0.0,396.4,CARD,PAID,2024-02-27 13:48:22,,B004,,S0052
O00071,,,,WALK_IN,2024-02-28 11:45:45,COMPLETED,142.41,0.0,0.0,142.41,E_WALLET,PAID,2024-02-28 11:49:18,,B007,,
O00090,Guest User,+60175341766,guest90@example.test,WALK_IN,2024-02-28 12:16:03,COMPLETED,250.13,0.0,0.0,250.13,CASH,PAID,2024-02-28 12:20:32,,B001,,S0012
O00101,,,,WALK_IN,2024-02-29 19:10:06,COMPLETED,42.76,0.0,0.0,42.76,CASH,PAID,2024-02-29 19:13:47,C0007,B008,,
O00146,,,,WALK_IN,2024-03-01 15:45:16,COMPLETED,385.34,0.0,0.0,385.34,ONLINE_BANKING,PAID,2024-03-01 15:48:01,,B001,,S0012
O00163,Guest User,+60178270597,guest163@example.test,WALK_IN,2024-03-01 16:58:24,COMPLETED,194.3,0.0,0.0,194.3,CASH,PAID,2024-03-01 17:02:10,,B007,,
O00124,Guest User,+60135298485,guest124@example.test,DELIVERY,2024-03-01 19:15:06,COMPLETED,30.27,0.0,0.0,56.47,E_WALLET,PAID,2024-03-01 19:18:33,,B002,,
O00114,,,,WALK_IN,2024-03-02 08:32:33,COMPLETED,336.36,0.0,0.0,336.36,ONLINE_BANKING,PAID,2024-03-02 08:33:22,,B007,,
O00138,Rafiq bin Jamal,+60191545707,rafiq.bin.jamal.c0005@example.test,DELIVERY,2024-03-02 10:32:16,COMPLETED,182.87,0.0,0.0,189.17,CARD,PAID,2024-03-02 10:35:18,C0005,B004,,S0047
O00149,Guest User,+60137241536,guest149@example.test,PICKUP,2024-03-02 16:23:05,COMPLETED,67.9,0.0,0.0,67.9,CASH,PAID,2024-03-02 16:25:25,,B008,,
O00119,,,,WALK_IN,2024-03-04 09:34:47,COMPLETED,139.07,0.0,0.0,139.07,CASH,PAID,2024-03-04 09:36:30,C0010,B007,,
O00152,,,,WALK_IN,2024-03-04 17:00:42,COMPLETED,279.24,0.0,0.0,279.24,CASH,PAID,2024-03-04 17:02:59,,B001,,S0012
O00117,,,,WALK_IN,2024-03-05 10:33:14,COMPLETED,213.47,0.0,0.0,213.47,ONLINE_BANKING,PAID,2024-03-05 10:35:45,C0009,B007,,
O00131,Guest User,+60175964339,guest131@example.test,WALK_IN,2024-03-05 20:50:39,COMPLETED,313.39,0.0,0.0,313.39,CASH,PAID,2024-03-05 20:51:49,,B001,,S0012
O00153,,,,WALK_IN,2024-03-06 09:47:47,COMPLETED,85.86,0.0,0.0,85.86,CASH,PAID,2024-03-06 09:48:17,,B001,,S0012
O00135,,,,WALK_IN,2024-03-06 20:34:50,COMPLETED,41.54,0.0,0.0,41.54,CASH,PAID,2024-03-06 20:36:38,,B001,,S0012
O00126,Guest User,+60124683825,guest126@example.test,WALK_IN,2024-03-06 20:35:08,COMPLETED,260.59,0.0,0.0,260.59,CASH,PAID,2024-03-06 20:37:04,,B007,,
O00154,Guest User,+60144758265,guest154@example.test,PICKUP,2024-03-07 12:15:06,COMPLETED,247.0,0.0,0.0,247.0,CASH,PAID,2024-03-07 12:19:28,,B001,,
O00160,,,,WALK_IN,2024-03-08 10:12:04,COMPLETED,179.78,0.0,100.0,79.78,ONLINE_BANKING,PAID,2024-03-08 10:15:43,C0009,B007,,
O00145,,,,WALK_IN,2024-03-08 10:13:11,COMPLETED,37.28,0.0,0.0,37.28,CARD,PAID,2024-03-08 10:17:50,C0005,B001,,S0012
O00121,,,,WALK_IN,2024-03-09 19:10:28,COMPLETED,171.5,0.0,0.0,171.5,E_WALLET,PAID,2024-03-09 19:12:08,,B002,,
O00128,,,,WALK_IN,2024-03-09 19:59:47,COMPLETED,114.3,0.0,0.0,114.3,CASH,PAID,2024-03-09 20:00:22,C0004,B001,,S0012
O00155,,,,WALK_IN,2024-03-10 09:10:59,COMPLETED,222.97,0.0,0.0,222.97,CASH,PAID,2024-03-10 09:12:45,,B008,,
O00134,,,,WALK_IN,2024-03-10 13:23:56,COMPLETED,14.77,0.0,0.0,14.77,CASH,PAID,2024-03-10 13:27:43,C0010,B001,,S0012
O00164,,,,WALK_IN,2024-03-11 10:45:47,COMPLETED,179.37,0.0,0.0,179.37,CASH,PAID,2024-03-11 10:49:44,C0009,B007,,
O00139,Guest User,+60199784647,guest139@example.test,WALK_IN,2024-03-11 18:27:14,COMPLETED,242.94,0.0,0.0,242.94,CASH,PAID,2024-03-11 18:28:05,,B002,,
O00116,,,,WALK_IN,2024-03-11 18:34:06,COMPLETED,164.87,0.0,0.0,164.87,CASH,PAID,2024-03-11 18:36:47,C0005,B007,,
O00165,,,,WALK_IN,2024-03-12 10:00:28,COMPLETED,160.29,0.0,0.0,160.29,CASH,PAID,2024-03-12 10:04:30,,B001,,S0012
O00157,,,,WALK_IN,2024-03-12 10:09:48,COMPLETED,36.29,0.0,0.0,36.29,CASH,PAID,2024-03-12 10:13:04,C0009,B002,,
O00156,,,,WALK_IN,2024-03-12 12:23:14,COMPLETED,121.15,0.0,0.0,121.15,ONLINE_BANKING,PAID,2024-03-12 12:25:31,C0006,B008,,
O00161,,,,WALK_IN,2024-03-14 13:17:48,COMPLETED,234.71,0.0,0.0,234.71,CASH,PAID,2024-03-14 13:22:42,,B007,,
O00132,,,,PICKUP,2024-03-14 14:18:41,COMPLETED,242.83,0.0,0.0,242.83,E_WALLET,PAID,2024-03-14 14:20:55,C0007,B002,,S0028
O00127,,,,WALK_IN,2024-03-15 10:39:41,COMPLETED,23.46,0.0,0.0,23.46,ONLINE_BANKING,PAID,2024-03-15 10:43:41,,B001,,S0012
O00144,,,,WALK_IN,2024-03-16 12:36:01,COMPLETED,174.69,0.0,0.0,174.69,CARD,PAID,2024-03-16 12:36:35,,B002,,
O00162,Guest User,+60141435602,guest162@example.test,WALK_IN,2024-03-18 08:01:44,COMPLETED,181.02,0.0,0.0,181.02,CASH,PAID,2024-03-18 08:06:15,,B008,,
O00129,Hafiz bin Basri,+60106730441,hafiz.bin.basri.c0006@example.test,DELIVERY,2024-03-18 08:34:59,CANCELLED,276.03,4.0,0.0,293.23,CARD,FAILED,,C0006,B011,V006,
O00130,Guest User,+60154919336,guest130@example.test,WALK_IN,2024-03-18 13:04:39,COMPLETED,86.36,0.0,0.0,86.36,CASH,PAID,2024-03-18 13:07:36,,B001,,S0012
O00141,,,,PICKUP,2024-03-18 19:27:19,COMPLETED,62.57,0.0,0.0,62.57,CASH,PAID,2024-03-18 19:30:37,C0003,B010,,
O00123,,,,WALK_IN,2024-03-19 13:26:35,COMPLETED,152.29,0.0,0.0,152.29,CASH,PAID,2024-03-19 13:30:14,C0008,B002,,
O00159,Guest User,+60165297287,guest159@example.test,DELIVERY,2024-03-21 13:23:45,COMPLETED,131.28,0.0,0.0,150.48,E_WALLET,PAID,2024-03-21 13:25:59,,B001,,S0005
O00151,,,,PICKUP,2024-03-22 11:07:04,COMPLETED,167.12,0.0,0.0,167.12,CASH,PAID,2024-03-22 11:11:31,C0009,B001,,S0012
O00148,,,,WALK_IN,2024-03-22 18:12:34,COMPLETED,199.0,0.0,0.0,199.0,E_WALLET,PAID,2024-03-22 18:12:52,C0009,B002,,
O00120,Guest User,+60195465265,guest120@example.test,PICKUP,2024-03-22 19:46:23,COMPLETED,209.11,0.0,0.0,209.11,CASH,PAID,2024-03-22 19:50:59,,B002,,S0028
O00143,,,,WALK_IN,2024-03-24 14:16:11,COMPLETED,76.77,0.0,0.0,76.77,CARD,PAID,2024-03-24 14:16:57,C0003,B001,,S0012
O00140,,,,PICKUP,2024-03-25 11:11:51,COMPLETED,291.37,0.0,0.0,291.37,CASH,PAID,2024-03-25 11:14:05,C0002,B008,,
O00133,,,,PICKUP,2024-03-26 14:32:09,COMPLETED,124.37,0.0,0.0,124.37,CARD,PAID,2024-03-26 14:35:41,C0003,B001,,
O00150,Guest User,+60147091316,guest150@example.test,WALK_IN,2024-03-27 11:54:26,CANCELLED,131.07,0.0,0.0,131.07,CARD,FAILED,,,B008,,
O00125,Guest User,+60114658284,guest125@example.test,DELIVERY,2024-03-27 19:58:02,COMPLETED,25.34,0.0,0.0,50.54,ONLINE_BANKING,PAID,2024-03-27 20:00:13,,B001,,S0005
O00147,Guest User,+60102625950,guest147@example.test,DELIVERY,2024-03-28 10:34:27,COMPLETED,4.92,0.0,0.0,17.72,ONLINE_BANKING,PAID,2024-03-28 10:36:21,,B002,,
O00137,Guest User,+60186814128,guest137@example.test,DELIVERY,2024-03-28 20:30:25,COMPLETED,196.75,0.0,0.0,211.39,CARD,PAID,2024-03-28 20:35:02,,B007,,
